Name,Rating,Genre,Release Date,Runtime,Director,Url
Jeepers Creepers: Reborn,58.0,"Horror, Thriller, Mystery",09/15/2022,1h 28m,Timo Vuorensola,https://www.themoviedb.org/movie/717728
The Batman,77.0,"Crime, Mystery, Thriller",03/04/2022,2h 57m,Matt Reeves,https://www.themoviedb.org/movie/414906
Bullet Train,75.0,"Action, Comedy, Thriller",08/05/2022,2h 7m,David Leitch,https://www.themoviedb.org/movie/718930
Dragon Ball Super: Super Hero,80.0,"Animation, Science Fiction, Action",08/26/2022,1h 39m,Tetsuro Kodama,https://www.themoviedb.org/movie/610150
No Abras La Puerta,69.0,NA,11/30/2022,NA,Humberto Hinojosa,https://www.themoviedb.org/movie/772446
Scrooge: A Christmas Carol,67.0,"Animation, Family, Fantasy, Drama",12/02/2022,1h 37m,Stephen Donnelly,https://www.themoviedb.org/movie/1001865
Lost Bullet 2,66.0,"Action, Drama, Thriller",11/10/2022,1h 38m,Guillaume Pierret,https://www.themoviedb.org/movie/948276
Sonic the Hedgehog 2,76.0,"Action, Adventure, Family, Comedy",04/08/2022,2h 2m,Jeff Fowler,https://www.themoviedb.org/movie/675353
Maneater,48.0,"Thriller, Horror",11/17/2022,1h 26m,Justin Lee,https://www.themoviedb.org/movie/982620
Beast,69.0,"Thriller, Adventure, Horror",08/19/2022,1h 33m,Baltasar Kormákur,https://www.themoviedb.org/movie/760741
Emily the Criminal,68.0,"Crime, Drama, Thriller",08/12/2022,1h 37m,John Patton Ford,https://www.themoviedb.org/movie/862965
Corrective Measures,51.0,"Science Fiction, Action",04/29/2022,1h 46m,Sean Patrick O'Reilly,https://www.themoviedb.org/movie/872177
In from the Side,65.0,"Drama, Romance",09/16/2022,2h 14m,Matt Carter,https://www.themoviedb.org/movie/622082
Slumberland,76.0,"Family, Fantasy, Adventure, Drama",11/18/2022,1h 57m,Francis Lawrence,https://www.themoviedb.org/movie/668461
On the Line,63.0,Thriller,10/31/2022,1h 44m,Romuald Boulanger,https://www.themoviedb.org/movie/979924
Puss in Boots,64.0,"Action, Animation, Adventure, Comedy, Family",10/28/2011,1h 30m,Chris Miller,https://www.themoviedb.org/movie/417859
The Lair,60.0,"Action, Horror",11/24/2022,1h 33m,Neil Marshall,https://www.themoviedb.org/movie/760204
Tom and Jerry Snowman's Land,74.0,"Family, Comedy, Animation, Adventure",11/15/2022,1h 16m,Darrell Van Citters,https://www.themoviedb.org/movie/1018403
Bromates,55.0,Comedy,10/07/2022,1h 37m,Court Crandall,https://www.themoviedb.org/movie/860854
The Banshees of Inisherin,76.0,"Drama, Comedy",10/21/2022,1h 54m,Martin McDonagh,https://www.themoviedb.org/movie/674324
"Tad, the Lost Explorer and the Emerald Tablet",78.0,"Adventure, Animation, Comedy, Family, Fantasy",08/26/2022,1h 29m,Enrique Gato,https://www.themoviedb.org/movie/676701
Enola Holmes 2,77.0,"Mystery, Adventure, Comedy, Crime",11/04/2022,2h 9m,Harry Bradbeer,https://www.themoviedb.org/movie/829280
Doctor Strange in the Multiverse of Madness,74.0,"Fantasy, Action, Adventure",05/06/2022,2h 6m,Sam Raimi,https://www.themoviedb.org/movie/453395
The Soccer Football Movie,65.0,"Animation, Comedy, Family",11/09/2022,1h 14m,Mitch Schauer,https://www.themoviedb.org/movie/1037858
The Hip Hop Nutcracker,58.0,Music,11/25/2022,44m,"Elizabeth Avellan, Nikki Parsons",https://www.themoviedb.org/movie/1023803
Fullmetal Alchemist: The Final Alchemy,62.0,"Action, Adventure, Fantasy",06/24/2022,2h 23m,Fumihiko Sori,https://www.themoviedb.org/movie/960704
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,83.0,"Animation, Action, Adventure, Fantasy",08/13/2021,1h 57m,Haruo Sotozaki,https://www.themoviedb.org/movie/635302
Minions: The Rise of Gru,75.0,"Animation, Comedy, Family",07/01/2022,1h 27m,Kyle Balda,https://www.themoviedb.org/movie/438148
Blue's Big City Adventure,76.0,"Family, Adventure, Music, Animation",11/18/2022,1h 14m,Matt Stawski,https://www.themoviedb.org/movie/939210
MexZombies,72.0,"Horror, Action, Comedy",10/26/2022,1h 33m,Chava Cartas,https://www.themoviedb.org/movie/675054
Hellraiser,65.0,"Horror, Mystery",10/07/2022,2h 1m,David Bruckner,https://www.themoviedb.org/movie/338947
Luck,79.0,"Animation, Adventure, Comedy, Fantasy",08/05/2022,1h 45m,Peggy Holmes,https://www.themoviedb.org/movie/585511
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,52.0,NA,09/30/2022,NA,NA,https://www.themoviedb.org/movie/1030419
Jujutsu Kaisen 0,83.0,"Animation, Action, Fantasy",06/30/2022,1h 45m,Sunghoo Park,https://www.themoviedb.org/movie/810693
The Fabelmans,80.0,Drama,11/23/2022,2h 31m,Steven Spielberg,https://www.themoviedb.org/movie/804095
Beauty Salon: Special Service,56.0,"Romance, Drama",12/29/2016,1h 21m,Lee Ri-dan,https://www.themoviedb.org/movie/452251
Turning Red,75.0,"Animation, Family, Comedy, Fantasy",03/10/2022,1h 40m,Domee Shi,https://www.themoviedb.org/movie/508947
Athena,66.0,"Drama, Action, Thriller",09/09/2022,1h 37m,Romain Gavras,https://www.themoviedb.org/movie/852046
The Infernal Machine,68.0,"Thriller, Mystery",12/02/2022,1h 47m,Andrew Hunt,https://www.themoviedb.org/movie/916605
How the Grinch Stole Christmas,67.0,"Family, Comedy, Fantasy",11/17/2000,1h 44m,Ron Howard,https://www.themoviedb.org/movie/8871
Orphan: First Kill,68.0,"Horror, Thriller",10/17/2022,1h 39m,William Brent Bell,https://www.themoviedb.org/movie/760161
Exploits of a Young Don Juan,55.0,"Comedy, Drama",03/11/1987,1h 35m,Gianfranco Mingozzi,https://www.themoviedb.org/movie/81774
Along with the Gods: The Two Worlds,81.0,"Drama, Fantasy, Action",12/20/2017,2h 19m,Kim Yong-hwa,https://www.themoviedb.org/movie/397567
Bones and All,75.0,"Drama, Horror, Romance",11/25/2022,2h 11m,Luca Guadagnino,https://www.themoviedb.org/movie/791177
Secret Headquarters,68.0,"Science Fiction, Family, Action, Adventure",08/12/2022,1h 44m,"Ariel Schulman, Henry Joost",https://www.themoviedb.org/movie/791155
Encanto,77.0,"Animation, Comedy, Family, Fantasy",11/24/2021,1h 42m,"Jared Bush, Byron Howard",https://www.themoviedb.org/movie/568124
The Grinch,68.0,"Animation, Family, Comedy, Fantasy",11/09/2018,1h 25m,"Scott Mosier, Yarrow Cheney",https://www.themoviedb.org/movie/360920
Samaritan,69.0,"Action, Drama, Science Fiction",08/25/2022,1h 42m,Julius Avery,https://www.themoviedb.org/movie/629176
DC League of Super-Pets,74.0,"Animation, Action, Family, Comedy, Science Fiction",07/29/2022,1h 45m,Jared Stern,https://www.themoviedb.org/movie/539681
Orgasm Inc: The Story of OneTaste,63.0,Documentary,11/05/2022,1h 29m,"Sloane Klevin, Sarah Gibson",https://www.themoviedb.org/movie/1040603
The Northman,71.0,"Action, Adventure, Fantasy",04/22/2022,2h 17m,Robert Eggers,https://www.themoviedb.org/movie/639933
The Action Pack Saves Christmas,35.0,"Animation, Family",11/28/2022,28m,"Seung Woo Cha, James Lopez",https://www.themoviedb.org/movie/1045636
Everything Everywhere All at Once,81.0,"Action, Adventure, Science Fiction",04/08/2022,2h 20m,"Daniel Scheinert, Daniel Kwan",https://www.themoviedb.org/movie/545611
Piggy,67.0,"Thriller, Drama, Horror",10/14/2022,1h 40m,Carlota Pereda,https://www.themoviedb.org/movie/848058
Huda's Salon,60.0,Thriller,02/01/2023,1h 31m,Hany Abu-Assad,https://www.themoviedb.org/movie/782648
To Kill the Beast,49.0,"Mystery, Fantasy, Thriller",04/28/2022,1h 29m,Agustina San Martín,https://www.themoviedb.org/movie/856245
Frank and Penelope,77.0,"Thriller, Horror, Crime",06/03/2022,1h 52m,Sean Patrick Flanery,https://www.themoviedb.org/movie/899294
Margaux,69.0,"Horror, Science Fiction",09/09/2022,1h 45m,Steven C. Miller,https://www.themoviedb.org/movie/846778
The Battle at Lake Changjin: Water Gate Bridge,69.0,"War, History, Action, Drama",02/01/2022,2h 29m,"Tsui Hark, Chen Kaige, Dante Lam",https://www.themoviedb.org/movie/928123
Overdose,65.0,"Action, Crime, Thriller",11/04/2022,1h 59m,Olivier Marchal,https://www.themoviedb.org/movie/896485
The Friendship Game,55.0,"Science Fiction, Horror",11/11/2022,1h 27m,Scooter Corkle,https://www.themoviedb.org/movie/844396
Along with the Gods: The Last 49 Days,82.0,"Drama, Fantasy, Action, Adventure",08/01/2018,2h 21m,Kim Yong-hwa,https://www.themoviedb.org/movie/518068
Harry Potter and the Philosopher's Stone,79.0,"Adventure, Fantasy",04/12/2002,2h 32m,Chris Columbus,https://www.themoviedb.org/movie/671
Hocus Pocus 2,75.0,"Fantasy, Comedy, Family",09/30/2022,1h 47m,Anne Fletcher,https://www.themoviedb.org/movie/642885
The Quintessential Quintuplets Movie,88.0,"Animation, Comedy, Romance",05/20/2022,2h 16m,Masato Jimbo,https://www.themoviedb.org/movie/820067
Private Lesson,72.0,"Comedy, Romance",12/16/2022,1h 29m,Kıvanç Baruönü,https://www.themoviedb.org/movie/1054513
The School for Good and Evil,72.0,"Fantasy, Action, Drama",10/19/2022,2h 26m,Paul Feig,https://www.themoviedb.org/movie/779782
Fantastic Beasts: The Secrets of Dumbledore,68.0,"Fantasy, Adventure, Action",04/15/2022,2h 22m,David Yates,https://www.themoviedb.org/movie/338953
Meet Joe Black,73.0,"Fantasy, Drama, Romance",11/12/1998,2h 58m,Martin Brest,https://www.themoviedb.org/movie/297
The Black Phone,78.0,"Horror, Thriller",06/24/2022,1h 43m,Scott Derrickson,https://www.themoviedb.org/movie/756999
Terrifier,66.0,"Horror, Thriller",08/17/2018,1h 24m,Damien Leone,https://www.themoviedb.org/movie/420634
Hotel Transylvania: Transformania,71.0,"Animation, Comedy, Family, Fantasy, Adventure",02/25/2022,1h 27m,"Derek Drymon, Jennifer Kluska",https://www.themoviedb.org/movie/585083
In the Forest,61.0,"Horror, Thriller",01/28/2022,1h 23m,Hector Barron,https://www.themoviedb.org/movie/929562
After Ever Happy,70.0,"Romance, Drama",09/07/2022,1h 35m,Castille Landon,https://www.themoviedb.org/movie/744276
X,68.0,"Horror, Mystery, Thriller",03/18/2022,1h 46m,Ti West,https://www.themoviedb.org/movie/760104
Sing 2,80.0,"Animation, Adventure, Comedy",12/22/2021,1h 50m,Garth Jennings,https://www.themoviedb.org/movie/438695
Topside,76.0,Drama,06/09/2022,1h 25m,"Logan George, Celine Held",https://www.themoviedb.org/movie/665899
The Invitation,64.0,"Horror, Thriller",08/26/2022,1h 45m,Jessica M. Thompson,https://www.themoviedb.org/movie/830788
Six Swedish Girls in a Boarding School,50.0,Comedy,09/28/1979,1h 31m,Erwin C. Dietrich,https://www.themoviedb.org/movie/244784
Laid-Back Camp The Movie,77.0,"Animation, Comedy",07/01/2022,2h 1m,Yoshiaki Kyougoku,https://www.themoviedb.org/movie/566466
The Addams Family,70.0,"Comedy, Fantasy",11/22/1991,1h 42m,Barry Sonnenfeld,https://www.themoviedb.org/movie/2907
Avengers: Infinity War,83.0,"Adventure, Action, Science Fiction",04/27/2018,2h 29m,"Anthony Russo, Joe Russo",https://www.themoviedb.org/movie/299536
Venom: Let There Be Carnage,69.0,"Science Fiction, Action, Adventure",10/01/2021,1h 37m,Andy Serkis,https://www.themoviedb.org/movie/580489
My Hero Academia: World Heroes' Mission,76.0,"Animation, Action, Adventure, Science Fiction",08/06/2021,1h 45m,Kenji Nagasaki,https://www.themoviedb.org/movie/768744
Home Alone 2: Lost in New York,67.0,"Comedy, Family, Adventure",11/19/1992,2h,Chris Columbus,https://www.themoviedb.org/movie/772
Knives Out,79.0,"Comedy, Crime, Mystery",11/27/2019,2h 11m,Rian Johnson,https://www.themoviedb.org/movie/546554
The Takeover,58.0,"Action, Crime, Thriller",11/01/2022,1h 27m,Annemarie van de Mond,https://www.themoviedb.org/movie/944864
Harry Potter and the Goblet of Fire,78.0,"Adventure, Fantasy, Family",11/18/2005,2h 37m,Mike Newell,https://www.themoviedb.org/movie/674
Harry Potter and the Chamber of Secrets,77.0,"Adventure, Fantasy",04/25/2003,2h 41m,Chris Columbus,https://www.themoviedb.org/movie/672
Whisper,63.0,"Horror, Thriller",06/23/2022,1h 16m,Christopher Jolley,https://www.themoviedb.org/movie/928773
Harry Potter and the Half-Blood Prince,77.0,"Adventure, Fantasy",07/07/2009,2h 33m,David Yates,https://www.themoviedb.org/movie/767
Wild Is the Wind,58.0,"Crime, Drama",10/28/2022,2h 3m,Fabian Medea,https://www.themoviedb.org/movie/1033107
Capturing Avatar,78.0,Documentary,11/16/2010,1h 38m,Laurent Bouzereau,https://www.themoviedb.org/movie/183392
Doraemon: Nobita's Little Star Wars 2021,51.0,"Animation, Science Fiction, Adventure",03/04/2022,1h 48m,Susumu Yamaguchi,https://www.themoviedb.org/movie/782054
Top Gun,70.0,"Action, Drama",05/16/1986,1h 50m,Tony Scott,https://www.themoviedb.org/movie/744
Warriors of Future,74.0,"Drama, Action, Science Fiction",08/25/2022,1h 41m,Ng Yuen-fai,https://www.themoviedb.org/movie/518896
The Lost City,67.0,"Action, Adventure, Comedy",03/25/2022,1h 52m,"Aaron Nee, Adam Nee",https://www.themoviedb.org/movie/752623
The Ledge,62.0,"Thriller, Adventure, Mystery, Action, Crime",06/15/2022,1h 26m,Howard J. Ford,https://www.themoviedb.org/movie/924482
Drifting Home,77.0,"Animation, Drama, Mystery, Fantasy, Family",09/16/2022,2h,Hiroyasu Ishida,https://www.themoviedb.org/movie/877957
Morbius,63.0,"Action, Science Fiction, Fantasy",04/01/2022,1h 45m,Daniel Espinosa,https://www.themoviedb.org/movie/526896
Harry Potter and the Prisoner of Azkaban,80.0,"Adventure, Fantasy",06/04/2004,2h 21m,Alfonso Cuarón,https://www.themoviedb.org/movie/673
Uncharted,71.0,"Action, Adventure",02/18/2022,1h 56m,Ruben Fleischer,https://www.themoviedb.org/movie/335787
The Seven Deadly Sins: Cursed by Light,78.0,"Animation, Fantasy",07/02/2021,1h 19m,Takayuki Hamana,https://www.themoviedb.org/movie/843241
Lou,67.0,"Action, Thriller, Drama",09/23/2022,1h 47m,Anna Foerster,https://www.themoviedb.org/movie/429473
RRR,77.0,"Action, Drama",03/25/2022,3h 7m,S. S. Rajamouli,https://www.themoviedb.org/movie/579974
Watcher,65.0,"Mystery, Thriller, Horror",06/03/2022,1h 36m,Chloe Okuno,https://www.themoviedb.org/movie/807356
Halloween Ends,64.0,"Horror, Thriller",10/14/2022,1h 51m,David Gordon Green,https://www.themoviedb.org/movie/616820
The Hole in the Fence,60.0,Drama,06/09/2022,1h 42m,Joaquín del Paso,https://www.themoviedb.org/movie/854554
Lightyear,72.0,"Animation, Action, Adventure, Family, Science Fiction",06/17/2022,1h 45m,Angus MacLane,https://www.themoviedb.org/movie/718789
Memory,71.0,"Action, Thriller, Crime",04/29/2022,1h 54m,Martin Campbell,https://www.themoviedb.org/movie/818397
Harry Potter and the Deathly Hallows: Part 2,81.0,"Fantasy, Adventure",07/07/2011,2h 10m,David Yates,https://www.themoviedb.org/movie/12445
Fullmetal Alchemist: The Revenge of Scar,68.0,"Fantasy, Action, Adventure",05/20/2022,2h 5m,Fumihiko Sori,https://www.themoviedb.org/movie/960700
God's Crooked Lines,74.0,"Drama, Mystery, Thriller",10/06/2022,2h 35m,Oriol Paulo,https://www.themoviedb.org/movie/890980
The Menu,72.0,"Comedy, Horror, Thriller",11/18/2022,1h 47m,Mark Mylod,https://www.themoviedb.org/movie/593643
The Long Dark Trail,51.0,Horror,06/19/2021,1h 18m,"Nick Psinakis, Kevin Ignatius",https://www.themoviedb.org/movie/888838
Harry Potter and the Order of the Phoenix,77.0,"Adventure, Fantasy, Mystery",07/03/2007,2h 18m,David Yates,https://www.themoviedb.org/movie/675
Code Name Banshee,52.0,"Thriller, Action",07/14/2022,1h 33m,Jon Keeyes,https://www.themoviedb.org/movie/916719
Togo,65.0,"Crime, Drama",10/05/2022,1h 35m,Adrián Caetano,https://www.themoviedb.org/movie/884363
Last Seen Alive,67.0,"Action, Thriller",05/19/2022,1h 35m,Brian Goodman,https://www.themoviedb.org/movie/961484
Crawlspace,67.0,Thriller,03/31/2022,1h 30m,L. Gustavo Cooper,https://www.themoviedb.org/movie/879538
The Bush,50.0,Thriller,08/18/2022,1h 27m,Sebastián Caulier,https://www.themoviedb.org/movie/960096
Lady Chatterley's Lover,68.0,"Romance, Drama",12/02/2022,2h 6m,Laure de Clermont-Tonnerre,https://www.themoviedb.org/movie/814338
Iron Man 2,68.0,"Adventure, Action, Science Fiction",05/07/2010,2h 4m,Jon Favreau,https://www.themoviedb.org/movie/10138
Serial (Bad) Weddings 3,64.0,Comedy,04/06/2022,1h 37m,Philippe de Chauveron,https://www.themoviedb.org/movie/714869
Nope,69.0,"Horror, Mystery, Science Fiction, Thriller",08/19/2022,2h 10m,Jordan Peele,https://www.themoviedb.org/movie/762504
Megan,35.0,Thriller,03/14/2020,1h 29m,Silvio Nacucchi,https://www.themoviedb.org/movie/883987
20th Century Girl,85.0,"Romance, Drama",10/21/2022,1h 59m,Bang Woo-ri,https://www.themoviedb.org/movie/851644
I Believe in Santa,54.0,"Romance, Comedy",12/14/2022,1h 30m,Alex Ranarivelo,https://www.themoviedb.org/movie/1053110
Zoolander,62.0,Comedy,09/28/2001,1h 30m,Ben Stiller,https://www.themoviedb.org/movie/9398
Family Game,53.0,"Thriller, Drama",06/17/2022,1h 50m,Rafaël Ouellet,https://www.themoviedb.org/movie/848526
The Boss Baby: Family Business,75.0,"Animation, Comedy, Adventure, Family",07/02/2021,1h 47m,Tom McGrath,https://www.themoviedb.org/movie/459151
Dracula: The Original Living Vampire,57.0,"Horror, Fantasy, Thriller",01/28/2022,1h 26m,Maximilian Elfeldt,https://www.themoviedb.org/movie/928015
Project Wolf Hunting,68.0,"Science Fiction, Action, Thriller, Horror",09/28/2022,2h 2m,Kim Hong-sun,https://www.themoviedb.org/movie/799379
Madagascar: A Little Wild Holiday Goose Chase,54.0,"Animation, Comedy",11/26/2021,24m,Chad Van De Keere,https://www.themoviedb.org/movie/904039
Zack Snyder's Justice League,82.0,"Action, Adventure, Fantasy, Science Fiction",03/18/2021,4h 2m,Zack Snyder,https://www.themoviedb.org/movie/791373
Avengers: Endgame,83.0,"Adventure, Science Fiction, Action",04/26/2019,3h 1m,"Anthony Russo, Joe Russo",https://www.themoviedb.org/movie/299534
Harry Potter and the Deathly Hallows: Part 1,78.0,"Adventure, Fantasy",11/19/2010,2h 26m,David Yates,https://www.themoviedb.org/movie/12444
The Red Book Ritual,54.0,Horror,09/13/2022,1h 23m,"Ariel Luque, Daniel J. Phillips, Guillermo Lockhart, Dean Law, Dean Puckett, Nicholas Peterson, Tony Morales, Jiwon Moon, Brian Deane, Daniel Rübesam, Christopher West, Oliver Garland, Victor Català, Chris Beyrooty, Nicolás Onetti",https://www.themoviedb.org/movie/928391
